Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Has_Cabin,FamilySize,IsAlone,AgeGroup,Title
0,3,0,49.0,0,0,14.233064613703176,2,0,1,1,2,1
1,1,0,25.0,2,1,22.00070646615562,2,0,4,0,0,4
1,3,1,-9.0,1,0,70.90909238783566,2,0,2,0,4,1
0,3,1,35.0,0,1,0.7249039860402138,2,0,2,0,0,1
1,1,1,24.0,0,1,6.169019611998802,0,0,2,0,0,3
1,3,0,25.0,0,0,2.3547188476260263,0,1,1,1,0,4
1,1,0,36.0,0,0,2.079072595864621,0,0,1,1,2,2
1,1,1,27.0,2,1,96.71015168078291,2,0,4,0,0,3
0,3,1,33.0,0,2,60.812030585034414,2,1,3,0,0,2
1,3,1,0.0,0,0,32.13922972064462,0,1,1,1,4,3
1,3,1,15.0,2,1,5.147845922390663,0,0,4,0,3,3
0,2,0,51.0,1,1,33.82589828986166,1,0,3,0,2,3
0,1,0,29.0,0,1,32.07251660471856,2,0,2,0,0,1
1,3,0,4.0,0,0,9.509735640011248,2,0,1,1,1,2
1,2,1,13.0,1,0,28.444956565116197,0,0,2,0,3,1
0,1,1,15.0,0,0,25.416830729160345,2,0,1,1,3,1
0,2,0,31.0,0,0,47.836121645656725,1,0,1,1,0,2
0,1,0,27.0,1,0,50.405726802045606,0,0,2,0,0,2
1,3,1,22.0,0,0,2.3181162010267364,2,1,1,1,0,2
1,2,0,47.0,0,0,23.46920023275308,0,1,1,1,2,0
1,3,1,37.0,1,0,49.15624973913643,0,0,2,0,2,3
0,2,1,26.0,0,0,34.97197263038949,2,0,1,1,0,2
1,3,1,21.0,1,0,97.06747265877192,1,0,2,0,0,1
1,3,1,23.0,0,1,53.74873820274989,2,1,2,0,0,2
1,1,1,35.0,1,0,8.892643438365367,0,0,2,0,0,3
1,3,1,29.0,1,0,3.659121812812042,2,0,2,0,0,3
0,3,0,41.0,0,1,51.41970735544456,0,1,2,0,2,3
1,3,1,12.0,0,0,1.3434536333697211,2,1,1,1,1,3
1,3,1,18.0,0,0,44.06736889036453,2,1,1,1,3,2
0,3,0,41.0,0,0,140.8627727693576,1,1,1,1,2,2
0,3,1,17.0,0,0,42.83912227887722,2,0,1,1,3,2
0,1,1,50.0,1,0,24.56503461119536,2,0,2,0,2,2
0,1,0,51.0,1,0,51.541357892249096,1,1,2,0,2,1
0,1,1,50.0,1,2,30.647798702554564,1,1,4,0,2,3
1,2,1,24.0,0,0,39.44071802881601,2,0,1,1,0,2
0,2,1,31.0,0,1,141.90635731164997,2,0,2,0,0,2
1,2,1,22.0,0,0,24.39637636750936,2,0,1,1,0,2
1,3,0,43.0,1,0,162.4545930753377,2,1,2,0,2,2
1,2,0,55.0,0,0,117.87880918849596,2,1,1,1,2,2
1,2,0,43.0,1,2,10.8948130470225,2,0,4,0,2,3
1,3,0,30.0,3,0,3.594207765157851,0,0,4,0,0,2
1,1,0,24.0,0,0,5.311266774081511,0,0,1,1,0,3
1,3,1,39.0,1,0,0.9194943923616852,0,1,2,0,2,1
1,1,0,11.0,3,0,4.960250582787707,2,1,4,0,1,2
1,3,1,38.0,0,0,57.44374362885836,2,1,1,1,2,1
1,3,0,16.0,1,1,3.692481347321351,2,0,3,0,3,2
1,1,0,27.0,0,0,19.207859414743425,2,0,1,1,0,2
1,1,1,27.0,0,2,93.17630200486386,2,0,3,0,0,3
1,3,1,24.0,2,0,1.1773501590355755,0,0,3,0,0,3
0,3,1,16.0,0,0,84.22652530929793,2,1,1,1,3,2
